Entity,Year,Organizations reporting having adopted AI
All geographies,2021,56
All geographies,2022,50
All geographies,2023,55
All geographies,2024,78
Asia-Pacific,2021,64
Asia-Pacific,2022,55
Asia-Pacific,2023,58
Asia-Pacific,2024,72
Developing markets,2021,52.03603
Developing markets,2022,44
Developing markets,2023,49
Developing markets,2024,77
Europe,2021,51
Europe,2022,48
Europe,2023,57
Europe,2024,80
Greater China,2021,61
Greater China,2022,41
Greater China,2023,48
Greater China,2024,75
North America,2021,55
North America,2022,59
North America,2023,61
North America,2024,82
